"law_id","title","url","status","error"
"9019","Zakon o dr?avnim simbolima i Danu dr?avnosti Crne Gore","https://wapi.gov.me/download/b8e6c8c8-f87e-4ddd-91fd-620e5ea87a1d?version=1.0","200",""
"9042","Zakon o fiskalizaciji u prometu proizvoda i usluga","https://wapi.gov.me/download/4bc72201-52a7-45a3-b636-c69bc0778210?version=1.0","200",""
"9043","Zakon o fiskalizaciji u prometu proizvoda i usluga","https://wapi.gov.me/download/4bc72201-52a7-45a3-b636-c69bc0778210?version=1.0","200",""
"9044","Zakon o fiskalizaciji u prometu proizvoda i usluga","https://wapi.gov.me/download/4bc72201-52a7-45a3-b636-c69bc0778210?version=1.0","200",""
"9045","Zakon o fiskalizaciji u prometu proizvoda i usluga","https://wapi.gov.me/download/4bc72201-52a7-45a3-b636-c69bc0778210?version=1.0","200",""
"9051","Zakon o porezu na dohodak fizickih lica","https://wapi.gov.me/download/d1fe1c0d-9b18-4b8e-8b6e-cc405a13d8cf?version=1.0","200",""
"9066","Opsti kolektivni ugovor","https://wapi.gov.me/download/9878d392-fd31-4eae-9521-639abfcff237?version=1.0","200",""
"9067","Zakon o doprinosima za obavezno socijalno osiguranje","https://wapi.gov.me/download/8cbb759d-a96e-4ed4-ad3d-f70a01ed94df?version=1.0","200",""
"9068","Zakon o doprinosima za obavezno socijalno osiguranje","https://wapi.gov.me/download/8cbb759d-a96e-4ed4-ad3d-f70a01ed94df?version=1.0","200",""
"9075","Zakon o izmjenama i dopunama ZUT Sl.list CG br. 38-19","https://wapi.gov.me/download/f366c9b2-c342-4d59-86e5-99443907a749?version=1.0","200",""
"9079","Zakon o zaradama zaposlenih u javnom sektoru","https://wapi.gov.me/download/fab6b879-848c-4723-b92c-e74f1922b897?version=1.0","200",""
"9104","Zakon o efikasnom koriscenju energije Sl.list CG br.25-19","https://wapi.gov.me/download/2a9721b7-45f0-470a-b327-755301ee187b?version=1.0","200",""
"9113","Zakon o administrativnim taksama","https://wapi.gov.me/download/0858c977-ed12-40ec-820c-1025b08dd4ea?version=1.0","200",""
"9126","Zakon o administrativnim taksama","https://wapi.gov.me/download/0858c977-ed12-40ec-820c-1025b08dd4ea?version=1.0","200",""
"9162","Zakon o zastiti prirodnog i kulturno-istorijskog podrucja Kotora","https://wapi.gov.me/download/1ba371ce-3f58-47e8-a81a-66de1917d030?version=1.0","200",""
"9189","Zakon o sportu","https://wapi.gov.me/download/486ea272-530d-4abd-a3a3-cfeba2839bf7?version=1.0","200",""
"9265","Zakon o parni?nom postupku","https://wapi.gov.me/download/96e82a15-2233-402a-a3af-8e59e19b4f1e?version=1.0","200",""
"9266","Zakon o izvr?enju i obezbje?enju","https://wapi.gov.me/download/88f70c80-2c78-4388-b4c7-242f77320403?version=1.0","200",""
"9267","Zakon o ovjeravanju potpisa, rukopisa i prepisa","https://wapi.gov.me/download/725fcf57-f56b-4394-bc0f-b5edd527b539?version=1.0","200",""
"9281","Zakon o nedozvoljenom ogla?avanju (Sl. list CG br. 30/17)","https://wapi.gov.me/download/847ee168-0279-4b9f-a260-421a60e3e325?version=1.0","200",""
"9448","Zakon o izvr?enju i obezbje?enju","https://wapi.gov.me/download/88f70c80-2c78-4388-b4c7-242f77320403?version=1.0","200",""
"9451","Zakon o parni?nom postupku","https://wapi.gov.me/download/96e82a15-2233-402a-a3af-8e59e19b4f1e?version=1.0","200",""
"9460","Zakon o admin. taksama precisc.tekst Sl.l. br. 53.2016","https://wapi.gov.me/download/e87d2c0e-5cfd-434b-a651-4c79a6123570?version=1.0","200",""
